2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=c31d1db81dcf4045a3e2d251f2d44ee4.fs.upload_file_stream, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=c31d1db81dcf4045a3e2d251f2d44ee4.fs.download_file, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=c31d1db81dcf4045a3e2d251f2d44ee4.fs.download_file_stream, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=c31d1db81dcf4045a3e2d251f2d44ee4.fs.list_files, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=c31d1db81dcf4045a3e2d251f2d44ee4.fs.list_directories, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=c31d1db81dcf4045a3e2d251f2d44ee4.fs.search_files, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=c31d1db81dcf4045a3e2d251f2d44ee4.shell.execute_cmd, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=c31d1db81dcf4045a3e2d251f2d44ee4.shell.execute_cmd_stream, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=c31d1db81dcf4045a3e2d251f2d44ee4.shell.execute_cmd_background, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Removed resource. resource_id=read_file_jiuwenswarm, removed_tags=['__global__']
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=read_file_jiuwenswarm, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Removed resource. resource_id=write_file_jiuwenswarm, removed_tags=['__global__']
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=write_file_jiuwenswarm, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Removed resource. resource_id=edit_file_jiuwenswarm, removed_tags=['__global__']
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=edit_file_jiuwenswarm, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Removed resource. resource_id=glob_jiuwenswarm, removed_tags=['__global__']
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=glob_jiuwenswarm, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Removed resource. resource_id=list_files_jiuwenswarm, removed_tags=['__global__']
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=list_files_jiuwenswarm, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Removed resource. resource_id=grep_jiuwenswarm, removed_tags=['__global__']
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=grep_jiuwenswarm, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Removed resource. resource_id=bash_jiuwenswarm, removed_tags=['__global__']
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=bash_jiuwenswarm, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Removed resource. resource_id=SkillTool_jiuwenswarm, removed_tags=['__global__']
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=SkillTool_jiuwenswarm, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Removed resource. resource_id=ReadFileTool_jiuwenswarm, removed_tags=['__global__']
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=ReadFileTool_jiuwenswarm, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Removed resource. resource_id=CodeTool_jiuwenswarm, removed_tags=['__global__']
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=CodeTool_jiuwenswarm, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | INFO | Removed resource. resource_id=BashTool_jiuwenswarm, removed_tags=['__global__']
2026-09-24 02:31:20 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=BashTool_jiuwenswarm, changed from [] to [GLOBAL]
2026-09-24 02:31:20 | common | default_trace_id | WARNING | Duplicate tool ability detected: name='read_file', existing_id='read_file_jiuwenswarm', new_id='ReadFileTool_jiuwenswarm'. Keep existing ability and skip new one.
